2	1.3598856662430001
3	0.8598856662430001
4	0.5265523329096666
5	0.32655233290966645
6	0.20155233290966645
7	0.12462925598658936
8	0.07701020836754191
9	0.04759844366165966
10	0.029416625479841585
11	0.018180670423662004
12	0.011236225979217362
13	0.006944380485655266
14	0.004291860591755903
15	0.002652516329460841
16	0.0016393451035234818
17	0.0010131710271301664
18	0.0006261741231052831
19	0.0003869968927774359
20	0.00023917723276278835
21	0.00014781965921972784
22	9.135757351019791e-05
23	5.64620854968112e-05
24	3.489548784330054e-05
25	2.1566597473210436e-05
26	1.3328890192010334e-05
27	8.23770710267624e-06
28	5.0911829108102324e-06
29	3.146524013786234e-06
30	1.9446587189442255e-06
31	1.2018651167622352e-06
